	name	skills
1678	Erica Mccarver	"[""observe student's progress"", ""employ pedagogic strategies to facilitate creative engagement"", ""revise legal documents"", ""isometric perspective"", ""maintain students' discipline"", ""monitor airspace planning"", ""apply intercultural teaching strategies"", ""children's physical development"", ""apply teaching strategies"", ""common children's diseases"", ""encourage students to acknowledge their achievements"", ""promote the safeguarding of young people"", ""support children's wellbeing"", ""disability types"", ""apply intercultural teaching strategies""]"
1679	Robert Tasson	"[""show intercultural awareness"", ""present reports"", ""support the positiveness of youths"", ""analyse foreign affairs policies"", ""design beer recipes"", ""maintain operational communications"", ""manage canopy"", ""advise on legislative acts"", ""identify security threats"", ""assess risk factors"", ""diplomatic principles"", ""ensure cross-department cooperation"", ""foreign affairs"", ""diplomatic principles"", ""maintain relationships with government agencies""]"
1680	Jose Muir	"[""monitor grounds maintenance"", ""agricultural raw materials, seeds and animal feed products"", ""assess supplier risks"", ""maintain financial records"", ""initiate contact with sellers"", ""stir cement mixture"", ""comprehend financial business terminology"", ""product comprehension"", ""maintain personal development in psychotherapy"", ""maintain financial records"", ""identify customer's needs"", ""maintain financial records"", ""agricultural raw materials, seeds and animal feed products"", ""perform market research"", ""initiate contact with buyers""]"
1681	Lillian Crabtree	"[""export control principles"", ""apply conflict management"", ""have computer literacy"", ""log changes in choreography"", ""office equipment"", ""abide by business ethical code of conducts"", ""abide by business ethical code of conducts"", ""control trade commercial documentation"", ""perform emergency street clean ups"", ""monitor international market performance"", ""pruning techniques"", ""build rapport with people from different cultural backgrounds"", ""produce sales reports"", ""produce sales reports"", ""embargo regulations""]"
1682	Vernon Green	"[""perform data cleansing"", ""semiconductors"", ""diving operation requirements"", ""define manufacturing quality criteria"", ""prepare production prototypes"", ""design firmware"", ""microelectromechanical systems"", ""microoptics"", ""test microelectronics"", ""design firmware"", ""use CAD software"", ""use CAM software"", ""microoptics"", ""operate manual planer"", ""program firmware""]"
1683	Nellie Martin	"[""engineering principles"", ""building materials industry"", ""participate in governmental tenders"", ""provide clinical psychological support in crisis situations"", ""use laboratory equipment"", ""construction legal systems"", ""architectural theory"", ""landscape architecture"", ""create architectural sketches"", ""design spatial layout of outdoor areas"", ""perform field research"", ""historic architecture"", ""grade lumber"", ""ensure compliance with construction project deadline"", ""perform field research""]"
1684	Pamela Smith	"[""data models"", ""IBM Informix"", ""apply company policies"", ""design database scheme"", ""maintain database security"", ""maintain database performance"", ""data storage"", ""maintain database security"", ""advise customers on new equipment"", ""information structure"", ""clean ships"", ""Cisco"", ""DB2"", ""data storage"", ""query languages""]"
1685	Robert Limbrick	"[""work ergonomically"", ""use technical documentation"", ""prevent fire in a performance environment"", ""write risk assessment on performing arts production"", ""ensure lawful business operations"", ""ICT help platforms"", ""perform first fire intervention"", ""prevent fire in a performance environment"", ""write risk assessment on performing arts production"", ""make architectural mock-ups"", ""develop professional network"", ""write risk assessment on performing arts production"", ""work safely with machines"", ""develop professional network"", ""work safely with mobile electrical systems under supervision""]"
1686	Eddie Hanson	"[""control financial resources"", ""make strategic business decisions"", ""hire new personnel"", ""gather feedback from employees"", ""analyse business objectives"", ""assume responsibility for the management of a business"", ""assume responsibility for the management of a business"", ""pharmaceutical legislation"", ""maintain privacy of service users"", ""build business relationships"", ""build business relationships"", ""register mail"", ""manage healthcare staff"", ""patient record storage"", ""manage office facility systems""]"
1687	Charlotte Wilson	"[""coordinate technical standards for global interoperability"", ""work in an aviation team"", ""common aviation safety regulations"", ""perform risk analysis"", ""perform multiple tasks at the same time"", ""coordinate the allocation of Mode S radars to Interrogator Codes"", ""manage aviation planning"", ""surveillance radars"", ""use different communication channels"", ""interact verbally in Hebrew"", ""address public health issues"", ""operate radio equipment"", ""sulphur recovery processes"", ""apply technical communication skills"", ""work in an aviation team""]"
1688	Dewayne Jones	"[""documentation types"", ""use content management system software"", ""geographic information systems"", ""CSS"", ""JSSS"", ""integrate content into output media"", ""detect malfunctions in train control systems"", ""use earth sciences tools"", ""provide written content"", ""cognitive psychology"", ""style sheet languages"", ""interpret technical texts"", ""develop documentation in accordance with legal requirements"", ""CSS"", ""provide multimedia content""]"
1689	Marlene Rodgers	"[""maintain customer service"", ""comply with food safety and hygiene"", ""implement marketing strategies"", ""prepare compliance documents"", ""entertain guests interactively"", ""build business relationships"", ""comply with food safety and hygiene"", ""leather goods quality"", ""ensure cross-department cooperation"", ""ensure cross-department cooperation"", ""implement sales strategies"", ""geodesy"", ""develop entertainment programmes"", ""ensure cross-department cooperation"", ""demonstrate intercultural competences in hospitality services""]"
1690	Kurt Gordon	"[""human resources department processes"", ""write meeting reports"", ""sales department processes"", ""translate language concepts"", ""use office systems"", ""personnel management"", ""work trains"", ""manufacturing of fur products"", ""management department processes"", ""write work-related reports"", ""company policies"", ""personnel management"", ""use different communication channels"", ""communicate effectively in healthcare"", ""use office systems""]"
1691	Michael Payne	"[""develop work plans to solve problems"", ""ensure functionality of airport lighting systems"", ""meet deadlines"", ""manage risk of lighting failure"", ""ensure functionality of airport lighting systems"", ""coordinate with other emergency services"", ""identify airport safety hazards"", ""apply airport standards and regulations"", ""make independent operating decisions"", ""develop work plans to solve problems"", ""electrical wiring plans"", ""electrical wiring plans"", ""analyse ways to reduce travel time"", ""determine characteristics of mineral deposits"", ""manage staff""]"
1692	Dorothy Parker	"[""bond rubber plies"", ""operate calender machine"", ""apply tile adhesive"", ""operate forklift"", ""repair plumbing systems"", ""inspect quality of products"", ""read standard blueprints"", ""inspect quality of products"", ""guide cranes"", ""fabricate belts"", ""measure materials"", ""measure materials"", ""follow safety standards in industrial contexts"", ""use personal protection equipment"", ""quantitative sensory testing""]"
1693	Ron Coleson	"[""adolescent socialisation behaviour"", ""perform classroom management"", ""monitor student's behaviour"", ""develop course outline"", ""perform classroom management"", ""facilitate teamwork between students"", ""post-secondary school procedures"", ""ensure compliance with maintenance legislation"", ""provide lesson materials"", ""consult student's support system"", ""identify learning disorders"", ""work with virtual learning environments"", ""strive for harmonious architectural constructions"", ""perform playground surveillance"", ""components of a ship manifest""]"
1694	Donald Baker	"[""consult technical resources"", ""inspect quality of products"", ""claims procedures"", ""set up the controller of a machine"", ""hold metal work piece in machine"", ""advise on clothing style"", ""remove processed workpiece"", ""remove processed workpiece"", ""provide advice to technicians"", ""manufacturing of metal household articles"", ""undertake clinical chiropractic research"", ""types of metal manufacturing processes"", ""inspect quality of products"", ""quality standards"", ""supply machine""]"
1695	Julian Navas	"[""SQL Server Integration Services"", ""public health"", ""primary care"", ""solve problems in healthcare"", ""nursing science"", ""use dairy test materials"", ""pathology"", ""biological chemistry"", ""apply sustainability principles in health care"", ""disability care"", ""gemstones"", ""implement fundamentals of nursing"", ""patient autonomy"", ""promote human rights"", ""interact with healthcare users""]"
1696	Ronald Garcia	"[""reinforce concrete"", ""ensure mould uniformity"", ""clean mixer"", ""load pallets"", ""work with virtual learning environments"", ""prevent casting adhesion"", ""reinforce concrete"", ""advertise new book releases"", ""check dining room cleanliness"", ""reinforce concrete"", ""transfer bricks"", ""remove finished casts"", ""operate furnace"", ""cast concrete sections"", ""reinforce concrete""]"
1697	Alvaro Deluca	"[""quality standards"", ""technical drawings"", ""engineering principles"", ""guidance, navigation and control"", ""design prototypes"", ""winterise fats"", ""engineering principles"", ""electronics"", ""synthetic natural environment"", ""use CAD software"", ""examine ventilation system"", ""mechanical engineering"", ""supervise craft production"", ""design principles"", ""quality standards""]"
1698	Carl Gray	"[""road traffic laws"", ""deal with aggressive behaviour"", ""react calmly in stressful situations"", ""prepare transportation routes"", ""drive vehicles"", ""operate radio equipment"", ""handle conflicts"", ""practice vigilance"", ""explain types of coagulation disorders"", ""security threats"", ""drive timber machine"", ""drive vehicles"", ""practice vigilance"", ""liaise with security authorities"", ""international human rights law""]"
1699	Michelle Weiss	"[""interpret financial statements"", ""Sardinian"", ""prepare financial projections"", ""financial products"", ""stock market"", ""public offering"", ""assess financial viability"", ""analyse financial risk"", ""macroeconomics"", ""perform public relations"", ""assess financial viability"", ""develop professional identity in social work"", ""advise on financial matters"", ""stock market"", ""develop investment portfolio""]"
1700	Prudence Waite	"[""review social service plan"", ""prepare simple meals on board"", ""maintain relations with children's parents"", ""support gender equality"", ""conduct cleaning tasks"", ""train staff on recycling programs"", ""perform child welfare investigations"", ""follow health and safety precautions in social care practices"", ""provide first aid"", ""communicate professionally with colleagues in other fields"", ""support social service users in skills management"", ""promote social change"", ""undertake continuous professional development in social work"", ""support children who have experienced trauma"", ""advocate for social service users""]"
1701	James Dupree	"[""collect oil samples"", ""monitor drilling fluid"", ""react to events in time-critical environments"", ""maintain oil field machinery"", ""guide drill pipes"", ""make time-critical decisions"", ""ensure health and safety in manufacturing"", ""develop educational materials on art therapy"", ""work closely with news teams"", ""work as a team"", ""monitor drilling fluid"", ""chemistry"", ""maintain drilling equipment"", ""maintain oil field machinery"", ""legal terminology""]"
1702	Jodi Ingerson	"[""introduce artist to potential employers"", ""ML (computer programming)"", ""JavaScript"", ""design database backup specifications"", ""Visual Studio .NET"", ""JavaScript"", ""social media marketing techniques"", ""Erlang"", ""C#"", ""Microsoft Visual C++"", ""PHP"", ""create data sets"", ""manage standards for data exchange"", ""olfaction"", ""OpenEdge Database""]"
1703	Louann Mccarty	"[""empathise with the healthcare user"", ""work in multidisciplinary health teams"", ""use clinical assessment techniques"", ""contribute to continuity of health care"", ""conduct health related research"", ""use e-health and mobile health technologies"", ""provide treatment strategies for challenges to human health"", ""microbiology-bacteriology"", ""tend packaging machines"", ""address potential aerodrome hazards"", ""provide health education"", ""provide medication information"", ""conduct health related research"", ""apply context specific clinical competences"", ""interact with healthcare users""]"
1704	Nancy Bass	"[""write Marathi"", ""achieve sales targets"", ""guarantee customer satisfaction"", ""review completed contracts"", ""handle financial transactions"", ""record customers' personal data"", ""perform multiple tasks at the same time"", ""product comprehension"", ""use CAM software"", ""company policies"", ""algorithms"", ""assist customers"", ""identify customer's needs"", ""product comprehension"", ""process data""]"
1705	Barbara Harris	"[""maintain relationship with suppliers"", ""maintain relationship with customers"", ""advise on animal purchase"", ""test package"", ""use CAD software"", ""rewrite musical scores"", ""packaging processes"", ""maintain financial records"", ""international import export regulations"", ""programmable logic controller"", ""approve packaging design"", ""manage staff"", ""conduct detailed evaluation of quality standards"", ""conduct detailed evaluation of quality standards"", ""international import export regulations""]"
1706	Joyce Gildea	"[""synthesise financial information"", ""monitor ICT research"", ""credit control processes"", ""install fire sprinklers"", ""debt classification"", ""assess mortgage risk"", ""decide on loan applications"", ""maintain client debt records"", ""protect client interests"", ""foreclosure"", ""assess customer credibility"", ""synthesise financial information"", ""identify faults in utility meters"", ""business loans"", ""assess mortgage risk""]"
1707	Joseph Degroot	"[""agricultural business management"", ""analyse election procedures"", ""organic farming"", ""provide agri-touristic services"", ""plant species"", ""prepare flower arrangements"", ""store crops"", ""use agricultural information systems and databases"", ""manage production enterprise"", ""pruning techniques"", ""keep task records"", ""coat food products"", ""process reservations"", ""sell flowers"", ""create soil and plant improvement programmes""]"
1708	Jason Chambers	"[""advise on financial matters"", ""assist disabled passengers"", ""provide financial product information"", ""maintain records of financial transactions"", ""review investment portfolios"", ""protect client interests"", ""protect client interests"", ""forecast economic trends"", ""build business relationships"", ""assess risks of clients' assets"", ""financial jurisdiction"", ""assess risks of clients' assets"", ""manage processes"", ""financial markets"", ""manage loan administration""]"
1709	Edward Paul	"[""advise on property value"", ""create a financial plan"", ""office administration"", ""real estate market"", ""inform on renting agreements"", ""operate climate control"", ""liaise with property owners"", ""liaise with advertising agencies"", ""review closing procedures"", ""use back-up and recovery tools"", ""organise a damage assessment"", ""energy performance of buildings"", ""accounting techniques"", ""social mediation"", ""liaise with local authorities""]"
1710	Joe Johnson	"[""place V-belts on rack"", ""mechanics"", ""fasten rubber goods"", ""set-up drum for rubber"", ""operate calender machine"", ""work in partnership with social services users"", ""inspect quality of products"", ""place V-belts on rack"", ""cut rubber plies"", ""fasten rubber goods"", ""set end stops"", ""report defective manufacturing materials"", ""fasten rubber goods"", ""place V-belts on rack"", ""blood type classification""]"
1711	Barbara Palmieri	"[""set prices of menu items"", ""battery chemistry"", ""apply procurement"", ""create decorative food displays"", ""machine tools"", ""speech techniques"", ""maintain customer service"", ""comply with food safety and hygiene"", ""use cooking techniques"", ""maintain kitchen equipment at correct temperature"", ""maintain a safe, hygienic and secure working environment"", ""cook pastry products"", ""work in a hospitality team"", ""prepare bakery products"", ""dispose waste""]"
1712	Vernon Woodmansee	"[""monitor museum environment"", ""perform shiatsu massages"", ""assess object condition"", ""compose condition reports"", ""advise on government policy compliance"", ""handle art"", ""give instructions to staff"", ""advise on government policy compliance"", ""lubricate engines"", ""advise on government policy compliance"", ""manage the neuropsychiatric sequelae of stroke"", ""art history"", ""advise on government policy compliance"", ""use ICT recources to solve work related tasks"", ""handle art""]"
1713	Dorothy Bryant	"[""leather goods quality"", ""pallet dimensions"", ""place carpet"", ""leather goods manufacturing processes"", ""leather goods materials"", ""reduce environmental impact of footwear manufacturing"", ""leather goods materials"", ""use communication techniques"", ""unload supplies"", ""reduce environmental impact of footwear manufacturing"", ""leather goods components"", ""leather goods components"", ""leather goods components"", ""apply basic rules of maintenance to leather goods and footwear machinery"", ""leather goods materials""]"
1714	Linda Scheunemann	"[""operate collating machine"", ""types of laminators"", ""make folding styles"", ""record production data for quality control"", ""use culinary finishing techniques"", ""perform machine maintenance"", ""quality standards"", ""keep records of work progress"", ""plant disease control"", ""prepare production reports"", ""follow a brief"", ""various types of sand"", ""adjust properties of cut"", ""prevent paper jams"", ""prepare production reports""]"
1715	Etta Mattern	"[""record furnace operations"", ""troubleshoot"", ""create beverage recipes with botanicals"", ""ensure health and safety in manufacturing"", ""prevent damage in a furnace"", ""perform minor repairs to equipment"", ""design medical supportive devices"", ""troubleshoot"", ""ensure health and safety in manufacturing"", ""ensure health and safety in manufacturing"", ""chemistry"", ""operate heat treatment furnace"", ""chemistry"", ""coking process"", ""clean vending machines""]"
1716	Jennifer Harris	"[""gemstones"", ""identify customer's needs"", ""use different communication channels"", ""use different communication channels"", ""sell orthopedic goods"", ""sales argumentation"", ""recommend orthopedic goods to customers depending on their condition"", ""prepare personal work environment"", ""sales argumentation"", ""repair orthopedic goods"", ""plan aftersales arrangements"", ""ensure compliance with legal requirements"", ""issue sales invoices"", ""organise storage facilities"", ""kinanthropometry""]"
1717	Jessie Cobbs	"[""health and safety measures in transportation"", ""consider constraints in maritime shipping"", ""handle shipment paperwork"", ""use communication devices"", ""communicate with customers"", ""lay concrete slabs"", ""manage school budget"", ""consider constraints in maritime shipping"", ""perform project management"", ""handle shipment paperwork"", ""show confidence"", ""cost management"", ""supervise loading of cargo"", ""project management"", ""encourage teams for continuous improvement""]"
1718	Edward Flynt	"[""on board hazards"", ""follow signalling instructions"", ""types of maritime vessels"", ""create technical plans"", ""restrict passenger access to specific areas on board"", ""inspect crane equipment"", ""communicate verbal instructions"", ""cable-propelled transit"", ""cable-propelled transit"", ""health and safety measures in transportation"", ""follow signalling instructions"", ""ensure passenger comfort"", ""comparative literature"", ""operate top supported cable-propelled vehicles"", ""inspect crane equipment""]"
1719	Malinda Barela	"[""care for living pets in the store"", ""surveillance methods"", ""ensure safe spectator movement"", ""ensure law application"", ""deal with aggressive behaviour"", ""use intense pulsed light technology"", ""operate fire extinguishers"", ""administer spray tans"", ""perform security checks"", ""practice vigilance"", ""criminal law"", ""manage lost and found articles"", ""handle conflicts"", ""operate radio equipment"", ""welcome spectators""]"
1720	Jamie Snell	"[""assemble automotive batteries"", ""use welding equipment"", ""reinforce concrete"", ""cast concrete sections"", ""follow safety standards in industrial contexts"", ""apply electrolytes to cathodes and anodes"", ""electrical instrumentation engineering"", ""assess cocoa bean quality"", ""manage inventory"", ""assemble moulds"", ""operate concrete casting machine"", ""operate concrete casting machine"", ""assemble moulds"", ""install ventilation equipment"", ""maintain moulds""]"
1721	Christi Irish	"[""show diplomacy"", ""show intercultural awareness"", ""psychology"", ""study cultures"", ""geodesy"", ""project management"", ""analyse internal factors of companies"", ""apply knowledge of human behaviour"", ""conduct educational activities"", ""develop communication strategies"", ""implement strategic planning"", ""develop drama production process"", ""define the visual universe of your creation"", ""maintain internal communication systems"", ""show diplomacy""]"
1722	Calvin Douglas	"[""develop professional identity in social work"", ""guide drill pipes"", ""manage ethical issues within social services"", ""prepare youths for adulthood"", ""fit carpet seams"", ""support the positiveness of youths"", ""prevent social problems"", ""tolerate stress"", ""manage pharmaceutical production facilities construction"", ""relate empathetically"", ""handle conflicts"", ""assess the development of youth"", ""handle conflicts"", ""assess the development of youth"", ""involve service users and carers in care planning""]"
1723	Gregory Donze	"[""assist community"", ""collect statistics on medical records"", ""apply teaching strategies"", ""reverse engineering"", ""mechanics of vessels"", ""transfer chemicals"", ""observe student's progress"", ""prepare lesson content"", ""diagnose problems with vehicles"", ""reverse engineering"", ""assessment processes"", ""manage resources for educational purposes"", ""teach transport technology principles"", ""technical drawings"", ""diagnose problems with vehicles""]"
1724	Melvin Parish	"[""comply with standard portion sizes"", ""arrange audit"", ""composition of diets"", ""ensure cleanliness of food preparation area"", ""produce reports based on animal records"", ""work in a hospitality team"", ""order supplies"", ""receive kitchen supplies"", ""examine mortgage loan documents"", ""prepare sandwiches"", ""nutrition"", ""slice fish"", ""cook vegetable products"", ""use cooking techniques"", ""create decorative food displays""]"
1725	Karen Harjo	"[""aircraft mechanics"", ""airport safety regulations"", ""common aviation safety regulations"", ""read standard blueprints"", ""airport safety regulations"", ""use computerised maintenance management systems"", ""use technical documentation"", ""mechanics"", ""mechanical engineering"", ""test electronic units"", ""electromechanics"", ""use computerised maintenance management systems"", ""discover acting talent"", ""check wine quality"", ""manage content metadata""]"
1726	Frank Williams	"[""label samples"", ""apply HACCP"", ""collaborate to discuss treatment plans in psychotherapy"", ""tend sugar refinery equipment"", ""starch production processes"", ""ensure sanitation"", ""follow hygienic procedures during food processing"", ""tend hoses"", ""stabilise pH of starches"", ""consult technical resources"", ""starch production processes"", ""dispose food waste"", ""participate in the organisation of emergency drills"", ""act reliably"", ""carry out checks of production plant equipment""]"
1727	Michael Odum	"[""agricultural equipment"", ""import export regulations of dangerous chemicals"", ""embargo regulations"", ""meet deadlines"", ""apply import strategies"", ""embargo regulations"", ""maintain hydraulic systems"", ""create import-export commercial documentation"", ""agricultural equipment"", ""speak different languages"", ""international commercial transactions rules"", ""assist students with equipment"", ""work effectively with other animal-related organisations"", ""international commercial transactions rules"", ""file claims with insurance companies""]"
1728	Lila Brouillette	"[""agricultural equipment"", ""give constructive feedback"", ""test fragrances against customer satisfaction"", ""provide lesson materials"", ""apply intercultural teaching strategies"", ""manage student relationships"", ""learning difficulties"", ""work with virtual learning environments"", ""aviation English"", ""adapt instruction to labour market"", ""flammable fluids"", ""forestry regulations"", ""adapt teaching to student's capabilities"", ""assist students in their learning"", ""green space strategies""]"
1729	Jose Yi	"[""operate landscaping equipment"", ""use IT tools"", ""plan supply chain logistics for footwear and leather goods"", ""leather goods manufacturing processes"", ""ensure private property security"", ""measure working time in footwear and leather goods production"", ""calculate the productivity of the production of footwear and leather goods"", ""practice innovative thinking in the footwear and leather goods industries"", ""apply methods for footwear and leather goods manufacturing"", ""plan supply chain logistics for footwear and leather goods"", ""measure working time in footwear and leather goods production"", ""understand spoken Italian"", ""use communication techniques"", ""practice innovative thinking in the footwear and leather goods industries"", ""plan supply chain logistics for footwear and leather goods""]"
1730	Ronald Legere	"[""create a product's virtual model"", ""create a product's virtual model"", ""manufacturing processes"", ""design drawings"", ""electrical engineering"", ""ensure equipment maintenance"", ""take orders for special publications"", ""ensure equipment maintenance"", ""draft design specifications"", ""design circuit boards"", ""condiment manufacturing processes"", ""negotiate sale of commodities"", ""electricity"", ""electricity"", ""draft design specifications""]"
1731	Christopher Mills	"[""intubation"", ""contribute to protecting individuals from harm"", ""teach principles of social work"", ""apply quality standards in social services"", ""write work-related reports"", ""promote inclusion"", ""tolerate stress"", ""demonstrate leadership in social service cases"", ""apply quality standards in social services"", ""involve service users and carers in care planning"", ""develop audio system designs"", ""monitor international market performance"", ""provide career counselling"", ""empower social service users"", ""involve service users and carers in care planning""]"
1732	Floyd Alvarado	"[""operate cranes"", ""operate forklift"", ""handle paperwork"", ""analyse supply chain strategies"", ""mark differences in colours"", ""handle intermodal equipment"", ""strive for harmonious architectural constructions"", ""manoeuvre heavy trucks"", ""tolerate stress"", ""teach principles of law"", ""operate forklift"", ""apply diplomatic principles"", ""analyse supply chain trends"", ""apply techniques for stacking goods into containers"", ""follow verbal instructions""]"
1733	Sandra Walker	"[""coordinate manufacturing production activities"", ""operate computerised control systems"", ""manufacturing of fur products"", ""e-tailoring"", ""solve location and navigation problems by using GPS tools"", ""manufacturing of wearing apparel"", ""measure sugar refinement"", ""manufacturing of made-up textile articles"", ""properties of fabrics"", ""manufacturing of made-up textile articles"", ""distinguish fabrics"", ""cut fabrics"", ""properties of fabrics"", ""prepare production prototypes"", ""distinguish accessories""]"
1734	Teresa Ferrante	"[""prosthetic-orthotic device materials"", ""repair crane equipment"", ""prosthetic devices"", ""use e-health and mobile health technologies"", ""create an airport master plan"", ""orthotics"", ""orthotics"", ""self-promote"", ""record healthcare users' progress related to treatment"", ""manipulate wood"", ""rehabilitation"", ""interact with healthcare users"", ""contribute to continuity of health care"", ""manipulate prosthetic-orthotic device materials"", ""develop therapeutic relationships""]"
1735	Gwen Torrey	"[""install electronic communication devices on trains"", ""meet deadlines for preparing legal cases"", ""apply technical communication skills"", ""proofread text"", ""legal department processes"", ""revise legal documents"", ""handle evidence"", ""legal case management"", ""promote sustainable interior design"", ""legal case management"", ""legal research"", ""perform office routine activities"", ""identify research topics"", ""revise legal documents"", ""process commissioned instructions""]"
1736	Patricia Gallego	"[""maintain customer service"", ""maintain camping facilities"", ""work with blacksmithing hand tools"", ""provide tourism related information"", ""assist clients with special needs"", ""deal with departures in accommodation"", ""provide tourism related information"", ""characteristics of chemicals used for tanning"", ""sell household goods"", ""deal with departures in accommodation"", ""comply with food safety and hygiene"", ""handle customer complaints"", ""maintain camping facilities"", ""process booking"", ""maintain camping facilities""]"
1737	Hubert Lujan	"[""Smalltalk (computer programming)"", ""operate scientific measuring equipment"", ""coordinate engineering teams"", ""Scala"", ""Prolog (computer programming)"", ""transfer varnish"", ""conduct literature research"", ""draft bill of materials"", ""redirect callers"", ""ML (computer programming)"", ""hardware components"", ""electrical engineering"", ""communicate with customers"", ""Microsoft Visual C++"", ""communicate vessel requirements""]"
1738	Charles Adkins	"[""customer service"", ""perform clerical duties"", ""perform clerical duties"", ""study aerial photos"", ""maintain customer service"", ""analyse ship operations"", ""health records management"", ""answer patients' questions"", ""develop organisational policies"", ""collect statistics on medical records"", ""manage administrative systems"", ""perform clerical duties"", ""data protection"", ""maintain healthcare user data confidentiality"", ""types of cartridges""]"
1739	Jason Salim	"[""clean glass surfaces"", ""apply proofing membranes"", ""maintain inventory of cleaning supplies"", ""specify digital game scenes"", ""carry out pressure washing activities"", ""follow reporting procedures"", ""follow control of substances hazardous to health procedures"", ""operate aerial work platforms"", ""operate aerial work platforms"", ""manage routine waste"", ""issue sales invoices"", ""manage routine waste"", ""carry out pressure washing activities"", ""manage production changeovers"", ""international human rights law""]"
1740	Joseph Rush	"[""use manual sewing techniques"", ""fasten components"", ""sew pieces of fabric"", ""process booking"", ""operate furniture machinery"", ""perform upholstery repair"", ""sew textile-based articles"", ""interact verbally in Urdu"", ""furniture trends"", ""report on window damage"", ""use manual sewing techniques"", ""perform upholstery repair"", ""set up the controller of a machine"", ""textile materials"", ""handle delivery of furniture goods""]"
1741	James Baldon	"[""provide social guidance over the phone"", ""apply crisis intervention"", ""create designs for pipeline engineering"", ""apply quality standards in social services"", ""empower social service users"", ""monitor crops"", ""relate empathetically"", ""materials in porcelain manufacturing"", ""maintain telephony system"", ""assess social service users' situation"", ""adhere to organisational guidelines"", ""listen actively"", ""provide social guidance over the phone"", ""refer social service users"", ""provide social guidance over the phone""]"
1742	Richard Briseno	"[""advise on mining environmental issues"", ""maintain vehicle delivery documentation"", ""advise on mining environmental issues"", ""conduct erosion control"", ""conduct sediment control"", ""communicate on minerals issues"", ""environmental legislation"", ""develop site remediation strategies"", ""office administration"", ""develop professional identity in social work"", ""examine geochemical samples"", ""conduct sediment control"", ""advise on mining environmental issues"", ""develop site remediation strategies"", ""use technical drawing software""]"
1743	Kevin Brown	"[""comprehend financial business terminology"", ""inspect raw materials for muscle food processing"", ""plan transport operations"", ""negotiate buying conditions"", ""negotiate sale of commodities"", ""correct dentofacial deformities"", ""monitor international market performance"", ""identify new business opportunities"", ""plan transport operations"", ""forecast economic trends"", ""glassware products"", ""comprehend financial business terminology"", ""identify suppliers"", ""initiate contact with buyers"", ""initiate contact with sellers""]"
1744	Joe Easterling	"[""apply company policies"", ""manage production systems"", ""interpret technical information for electronic repair work"", ""lasers"", ""guide people to holding areas"", ""use different communication channels"", ""store goods"", ""identify terrorism threats"", ""comply with the principles of self-defence"", ""ensure passage metal detection"", ""surveillance methods"", ""check methods"", ""operate radio equipment"", ""surveillance methods"", ""liaise with security authorities""]"
1745	Chandra Johnson	"[""banking activities"", ""prepare financial statements"", ""engage with offenders"", ""provide financial product information"", ""financial statements"", ""accounting"", ""implement marketing strategies"", ""create a financial report"", ""accounting techniques"", ""implement marketing strategies"", ""funding methods"", ""schedule fishing"", ""develop communication strategies"", ""present reports"", ""analyse market financial trends""]"
1746	Andrew Olander	"[""use global distribution system"", ""supervise crew"", ""maintain relationship with suppliers"", ""conduct search engine optimisation"", ""implement marketing strategies"", ""coordinate operational activities"", ""operate money-processing machine"", ""conduct search engine optimisation"", ""ensure regular maintenance of kitchen equipment"", ""identify customer's needs"", ""prepare travel packages"", ""manage health and safety standards"", ""manage staff"", ""coordinate operational activities"", ""plan digital marketing""]"
1747	Yolanda Mcgee	"[""tend bottle-washing machine"", ""measure precise food processing operations"", ""measure precise food processing operations"", ""work independently in service of a food production process"", ""work independently in service of a food production process"", ""perform weed control operations"", ""dangers of marshalling activity"", ""make critical decisions regarding the processing of food"", ""label foodstuffs"", ""handle chemicals for clean in place"", ""handle chemicals for clean in place"", ""label samples"", ""work in a food processing team"", ""create garden areas in cemeteries"", ""apply GMP""]"
1748	Paul Harrell	"[""produce textile designs"", ""maintain work standards"", ""evaluate textile characteristics"", ""determine suitability of materials"", ""maintain chiropractic equipment"", ""organise creative performance"", ""tend weaving machines"", ""electrical machines"", ""check quality of products in textile production line"", ""maintain work standards"", ""maintain machinery"", ""check quality of products in textile production line"", ""arrange equipment repairs"", ""textile technologies"", ""maintain work standards""]"
1749	Lydia Kuebler	"[""set up the controller of a machine"", ""quality standards"", ""operate furnace"", ""observe glass under heat"", ""manufacturing of steam generators"", ""quality standards"", ""monitor gauge"", ""tend counterblow machine"", ""types of metal manufacturing processes"", ""hold metal work piece in machine"", ""manufacturing of heating equipment"", ""repair coquille defects"", ""dies"", ""perform product testing"", ""evaluate employees""]"
1750	Julia Hatch	"[""manual cutting processes for leather"", ""notify customers on special offers"", ""reduce environmental impact of footwear manufacturing"", ""stock fish into holding units"", ""create solutions to problems"", ""prepare footwear samples"", ""create solutions to problems"", ""develop footwear collection"", ""manual cutting processes for leather"", ""footwear materials"", ""pattern grading"", ""use communication techniques"", ""develop footwear collection"", ""use communication techniques"", ""types of piping""]"
1751	Michael Hobson	"[""pump products"", ""use technical drawing software"", ""troubleshoot"", ""3D modelling"", ""footwear creation process"", ""read engineering drawings"", ""provide advice to technicians"", ""reverse engineering"", ""design prototypes"", ""use CAM software"", ""quality and cycle time optimisation"", ""reverse engineering"", ""monitor production developments"", ""approve engineering design"", ""monitor feeding systems""]"
